popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min
73,False,0.676,0.461,1,0.76643915431996,0,0.143,0.0322,1.01e-06,0.358,0.715,0.3499373566635522,4,0.05401209045857743
55,False,0.42,0.166,1,0.3299067754286664,1,0.0763,0.924,5.56e-06,0.101,0.267,0.2945776352671367,4,0.03429845571339348
57,False,0.438,0.359,0,0.6420842350590976,1,0.0557,0.21,0.0,0.117,0.12,0.2884354030408562,4,0.049186802838358704
71,False,0.266,0.0596,0,0.2766355918095553,1,0.0363,0.905,7.07e-05,0.132,0.143,0.8480208952688355,3,0.04702393576141287
82,False,0.618,0.443,2,0.6442899950058265,1,0.0526,0.469,0.0,0.0829,0.167,0.5199874713327104,4,0.04627484877198376
58,False,0.688,0.481,6,0.6806642250707506,1,0.105,0.289,0.0,0.189,0.666,0.40355580565701177,4,0.05001712198832981
74,False,0.407,0.147,2,0.6800399533877143,1,0.0355,0.857,2.89e-06,0.0913,0.0765,0.6332498088847363,3,0.05370418652071468
80,False,0.703,0.444,11,0.6588563342766771,1,0.0417,0.559,0.0,0.0973,0.712,0.6846173447719358,4,0.05699871001383379
74,False,0.625,0.414,0,0.6851173630764108,1,0.0369,0.294,0.0,0.151,0.669,0.5738129618618873,4,0.0440275878036964
56,False,0.442,0.632,1,0.7654403196271016,1,0.0295,0.426,0.00419,0.0735,0.196,0.3020629830969167,4,0.047914327796575215
74,False,0.627,0.363,8,0.7089645413684034,1,0.0291,0.279,0.0,0.0928,0.301,0.41357873948866053,4,0.05744962146786028
69,False,0.483,0.303,4,0.6285999667055102,1,0.0429,0.694,0.0,0.115,0.139,0.5914274186698378,3,0.05632234283279405
52,False,0.489,0.314,7,0.6624354919260862,0,0.0331,0.749,0.0,0.113,0.607,0.5427354964749851,4,0.04624055615331184
62,False,0.691,0.234,3,0.7791326785417012,1,0.0285,0.777,0.0,0.12,0.209,0.3456160282001189,4,0.05833685177222307
56,False,0.755,0.78,2,0.793990344597969,1,0.0327,0.124,2.83e-05,0.121,0.387,0.5202794529856452,4,0.043667636912672024
58,False,0.489,0.561,4,0.717038455135675,1,0.0274,0.2,4.56e-05,0.179,0.238,0.32626029898921255,3,0.05749485853929983
56,False,0.706,0.112,2,0.2939903445979689,1,0.0391,0.827,4.03e-06,0.125,0.414,0.4679881933237068,4,0.02946830389194469
54,False,0.795,0.0841,10,0.2943232894955884,0,0.0461,0.742,1.17e-05,0.0853,0.609,0.3705671876327189,4,0.039191355730710045
67,False,0.717,0.32,3,0.6978941235225569,1,0.0283,0.83,0.0,0.107,0.322,0.45626645714771086,4,0.06119165147414482
63,False,0.678,0.351,0,0.6870317962377226,1,0.0266,0.747,0.0,0.355,0.569,0.36116537840822216,4,0.0402726676641522
0,False,0.572,0.454,3,0.619111037123356,1,0.0258,0.477,1.37e-05,0.0974,0.515,0.6273995583113904,4,0.050539050780315155
0,False,0.796,0.667,5,0.8461378391876144,0,0.0392,0.381,0.0,0.221,0.754,0.40340185169455534,4,0.05415801649547921
1,False,0.755,0.454,9,0.6472864990844014,0,0.0352,0.757,0.0,0.236,0.33,0.5205767433959059,4,0.07144538766710964
0,False,0.62,0.309,5,0.6639337439653736,1,0.0495,0.788,0.0,0.146,0.664,0.6549042300178375,4,0.029957156115565643
